time, length, x, y, value1, value2, value3		
26330,70,-93.780,85.555,297,217,164
26410,70,-93.765,85.590,478,565,405
26490,70,-93.740,85.630,481,695,507
26570,70,-93.720,85.670,482,633,493
26650,70,-93.690,85.705,482,704,571
27820,70,-93.380,86.015,356,257,201
27900,70,-93.410,85.970,484,570,420
27980,70,-93.440,85.925,486,664,501
28060,70,-93.475,85.880,487,696,546
28140,70,-93.505,85.830,487,728,585
28220,70,-93.535,85.780,484,783,634
28300,70,-93.565,85.730,485,867,694
28380,70,-93.595,85.680,486,929,756
28460,70,-93.625,85.640,487,970,790
28540,70,-93.650,85.590,491,949,806
28620,70,-93.685,85.540,489,968,809
28700,70,-93.715,85.495,488,959,806
29800,70,-93.650,85.415,371,286,247
29880,70,-93.625,85.460,499,796,577
29960,70,-93.595,85.505,501,948,692
30040,70,-93.560,85.555,498,917,707
30120,70,-93.525,85.610,496,977,762
30200,70,-93.490,85.655,494,985,794
30280,70,-93.460,85.705,494,973,793
30360,70,-93.430,85.760,495,1116,890
30440,70,-93.400,85.810,496,1083,876
30520,70,-93.365,85.860,494,1039,857
30600,70,-93.340,85.910,490,1098,906
30680,70,-93.315,85.955,489,1059,884
30760,70,-93.280,86.005,487,1091,913
30840,70,-93.250,86.055,486,1117,931
30920,70,-93.220,86.100,485,1106,938
31000,70,-93.190,86.155,478,1033,893
31080,70,-93.160,86.210,476,906,815
31160,70,-93.125,86.250,473,907,821
31240,70,-93.095,86.300,471,955,862
32410,70,-92.790,86.610,340,343,277
32490,70,-92.820,86.565,454,560,440
32570,70,-92.845,86.520,452,748,592
32650,70,-92.880,86.470,452,808,661
32730,70,-92.905,86.410,453,964,771
32810,70,-92.940,86.370,454,1029,850
32890,70,-92.965,86.315,453,971,822
32970,70,-93.000,86.260,452,1034,858
33050,70,-93.030,86.215,449,1128,923
33130,70,-93.065,86.165,448,1123,950
33210,70,-93.105,86.110,451,1128,955
33290,70,-93.135,86.060,452,1130,996
33370,70,-93.170,86.015,452,1128,1007
33450,70,-93.195,85.960,451,1126,1001
33530,70,-93.230,85.910,450,1108,986
33610,70,-93.260,85.865,450,1189,1047
33690,70,-93.295,85.805,451,1165,1047
33770,70,-93.320,85.755,451,1212,1066
33850,70,-93.355,85.705,452,1342,1140
33930,70,-93.385,85.655,452,1353,1167
34010,70,-93.420,85.605,451,1463,1247
34090,70,-93.450,85.555,452,1420,1234
34170,70,-93.470,85.505,455,1367,1201
34250,70,-93.505,85.455,458,1407,1218
34330,70,-93.535,85.405,457,1380,1197
34410,70,-93.570,85.355,459,1364,1183
35510,70,-93.510,85.280,359,412,359
35590,70,-93.490,85.320,484,844,660
35670,70,-93.455,85.370,485,973,757
35750,70,-93.425,85.420,485,1029,814
35830,70,-93.395,85.470,486,1055,835
35910,70,-93.360,85.515,482,1071,867
35990,70,-93.335,85.565,482,1272,1040
36070,70,-93.305,85.620,483,1306,1068
36150,70,-93.270,85.670,483,1342,1071
36230,70,-93.240,85.720,484,1485,1193
36310,70,-93.210,85.765,483,1465,1198
36390,70,-93.175,85.815,480,1397,1169
36470,70,-93.145,85.865,479,1319,1144
